column,column_2
2021-10-05 22:00:28.800,3070
2021-10-05 23:00:28.800,3120
2021-10-06 00:00:28.800,3170
2021-10-06 01:00:28.800,3210
2021-10-06 02:00:28.800,3250
2021-10-06 03:00:28.800,3260
2021-10-06 03:03:28.800,3430
2021-10-06 04:00:28.800,3440
2021-10-06 05:00:28.800,3450
2021-10-06 06:00:28.800,3500
2021-10-06 07:00:28.800,3550
2021-10-06 08:00:28.800,3600
2021-10-06 09:00:28.800,3620
2021-10-06 10:00:28.800,3650
2021-10-06 11:00:28.800,3680
2021-10-06 12:00:28.800,3710
2021-10-06 12:54:28.800,3730
2021-10-06 13:00:28.800,3730
2021-10-06 14:00:28.800,3780
2021-10-06 15:00:28.800,3790
2021-10-06 16:00:28.800,3830
2021-10-06 17:00:28.800,3880
2021-10-06 18:00:28.800,3900
2021-10-06 19:00:28.800,3960
2021-10-06 20:00:28.800,3970
2021-10-06 21:00:28.800,4000
2021-10-06 22:00:28.800,4010
2021-10-06 23:00:28.800,4020
2021-10-07 00:00:28.800,4030
2021-10-07 01:00:28.800,4050
2021-10-07 02:00:28.800,4090
2021-10-07 03:00:28.800,4120
2021-10-07 04:00:28.800,4140
2021-10-07 05:00:28.800,4150
2021-10-07 06:00:28.800,4170
2021-10-07 06:12:28.800,4260
2021-10-07 07:00:28.800,4280
2021-10-07 08:00:28.800,4290
2021-10-07 09:00:28.800,4300
2021-10-07 10:00:28.800,4330
2021-10-07 11:00:28.800,4330
2021-10-07 12:00:28.800,4330
2021-10-07 13:00:28.800,4330
2021-10-07 14:00:28.800,4330
2021-10-07 15:00:28.800,4330
2021-10-07 16:00:28.800,4330
2021-10-07 17:00:28.800,4330
2021-10-07 18:00:28.800,4330
2021-10-07 19:00:28.800,4330
2021-10-07 20:00:28.800,4330
2021-10-07 21:00:28.800,4330
2021-10-07 22:00:28.800,4350
2021-10-07 23:00:28.800,4380
2021-10-08 00:00:28.800,4400
2021-10-08 01:00:28.800,4420
2021-10-08 02:00:28.800,4440
2021-10-08 02:48:28.800,4540
2021-10-08 03:00:28.800,4460
2021-10-08 04:00:28.800,4560
2021-10-08 05:00:28.800,4420
2021-10-08 06:00:28.800,4360
2021-10-08 07:00:28.800,4270
2021-10-08 08:00:28.800,4220
2021-10-08 08:45:28.800,4230
2021-10-08 09:00:28.800,4180
2021-10-08 10:00:28.800,4140
2021-10-08 11:00:28.800,4080
2021-10-08 12:00:28.800,3990
2021-10-08 13:00:28.800,3980
2021-10-08 14:00:28.800,3920
2021-10-08 15:00:28.800,3860
2021-10-08 16:00:28.800,3780
2021-10-08 17:00:28.800,3720
2021-10-08 18:00:28.800,3640
2021-10-08 19:00:28.800,3550
2021-10-08 20:00:28.800,3480
2021-10-08 21:00:28.800,3380
2021-10-08 22:00:28.800,3300
2021-10-08 23:00:28.800,3240
2021-10-09 00:00:28.800,3120
2021-10-09 01:00:28.800,3060
2021-10-09 02:00:28.800,2980
2021-10-09 02:42:28.800,2500
2021-10-09 03:00:28.800,2480
2021-10-09 05:00:28.800,2260
2021-10-09 07:00:28.800,2040
2021-10-09 09:00:28.800,1990
2021-10-09 12:00:28.800,1970
2021-10-09 12:33:28.800,1850
2021-10-09 15:00:28.800,1800
2021-10-09 18:00:28.800,1740
2021-10-09 21:00:28.800,1700
2021-10-10 00:00:28.800,1670
2021-10-10 03:00:28.800,1640
2021-10-10 05:57:28.800,1660
2021-10-10 06:00:28.800,1620
2021-10-10 09:00:28.800,1650
2021-10-10 12:00:28.800,1670
2021-10-10 15:00:28.800,1680
2021-10-10 18:00:28.800,1680
2021-10-10 21:00:28.800,1660
2021-10-11 00:00:28.800,1660
2021-10-11 03:00:28.800,1640
2021-10-11 06:00:28.800,1630
2021-10-11 09:00:28.800,1610
2021-10-11 12:00:28.800,1600
2021-10-11 15:00:28.800,1590
2021-10-11 18:00:28.800,1580
2021-10-11 21:00:28.800,1560
2021-10-12 00:00:28.800,1540
2021-10-12 03:00:28.800,1530
2021-10-12 06:00:28.800,1510
2021-10-12 09:00:28.800,1500
2021-10-12 09:09:28.800,1500
2021-10-12 12:00:28.800,1480
2021-10-12 15:00:28.800,1470
2021-10-12 18:00:28.800,1460
2021-10-12 21:00:28.800,1450
2021-10-13 00:00:28.800,1440
2021-10-13 03:00:28.800,1440
2021-10-13 06:00:28.800,1430
2021-10-13 09:00:28.800,1420
2021-10-13 12:00:28.800,1410
2021-10-13 15:00:28.800,1400
2021-10-13 18:00:28.800,1390
2021-10-13 21:00:28.800,1380
2021-10-14 00:00:28.800,1370
2021-10-14 03:00:28.800,1350
2021-10-14 04:03:28.800,1230
2021-10-14 06:00:28.800,1220
2021-10-14 09:00:28.800,1210
2021-10-14 12:00:28.800,1190
2021-10-14 15:00:28.800,1180
2021-10-14 18:00:28.800,1170
2021-10-14 21:00:28.800,1170
2021-10-15 00:00:28.800,1150
2021-10-15 03:00:28.800,1140
2021-10-15 06:00:28.800,1130
2021-10-15 09:00:28.800,1150
2021-10-15 12:00:28.800,1150
2021-10-15 15:00:28.800,1150
2021-10-15 18:00:28.800,1140
2021-10-15 21:00:28.800,1180
2021-10-16 00:00:28.800,1220
2021-10-16 03:00:28.800,1230
2021-10-16 06:00:28.800,1220
2021-10-16 09:00:28.800,1160
2021-10-16 12:00:28.800,1100
2021-10-16 15:00:28.800,1070
2021-10-16 18:00:28.800,1040
2021-10-16 21:00:28.800,1010
2021-10-17 00:00:28.800,970
2021-10-17 03:00:28.800,915
2021-10-17 12:45:28.800,690
2021-10-17 15:00:28.800,660
2021-10-18 03:00:28.800,579
2021-10-18 15:00:28.800,540
2021-10-19 03:00:28.800,628
2021-10-19 15:00:28.800,453
2021-10-20 03:00:28.800,363
2021-10-20 05:00:28.800,646
2021-10-20 15:00:28.800,615
2021-10-21 03:00:28.800,582
2021-10-21 12:00:28.800,582
2021-10-21 15:00:28.800,597
2021-10-22 03:00:28.800,549
2021-10-22 15:00:28.800,605
2021-10-23 03:00:28.800,593
2021-10-23 15:00:28.800,593
2021-10-24 03:00:28.800,554
2021-10-24 10:42:28.800,540
2021-10-24 15:00:28.800,535
2021-10-25 03:00:28.800,532
2021-10-25 15:00:28.800,522
2021-10-26 03:00:28.800,511
2021-10-26 15:00:28.800,464
2021-10-27 03:00:28.800,504
2021-10-27 06:06:28.800,502
2021-10-27 15:00:28.800,504
2021-10-28 03:00:28.800,536
2021-10-28 15:00:28.800,541
2021-10-29 03:00:28.800,516
2021-10-29 15:00:28.800,527
2021-10-30 03:00:28.800,527
2021-10-30 06:30:28.800,526
2021-10-30 15:00:28.800,494
2021-10-31 03:00:28.800,484
2021-11-01 03:00:28.800,464
2021-11-02 03:00:28.800,453
2021-11-03 03:00:28.800,415
2021-11-04 03:00:28.800,417
2021-11-04 04:42:28.800,411
2021-11-05 03:00:28.800,443
2021-11-06 03:00:28.800,413
2021-11-07 03:00:28.800,399
2021-11-08 03:00:28.800,406
2021-11-09 03:00:28.800,395
2021-11-10 03:00:28.800,373
2021-11-10 12:30:28.800,320
2021-11-11 03:00:28.800,317
2021-11-12 03:00:28.800,335
2021-11-13 03:00:28.800,309
2021-11-14 03:00:28.800,275
2021-11-15 03:00:28.800,255
